increase,patient,death,ratio,inspection,Region,date
10,130,29,0,1.3,SEOUL,Mon Mar 9 13:41:29 2020
-1,96,10,0,2.8,BUSAN,Mon Mar 9 13:41:29 2020
190,5571,21,35,228.6,DAEGU,Mon Mar 9 13:41:29 2020
0,9,2,0,0.3,INCHEON,Mon Mar 9 13:41:29 2020
2,15,3,0,1,GWANGJU,Mon Mar 9 13:41:29 2020
1,19,1,0,1.3,DAEJEON,Mon Mar 9 13:41:29 2020
0,24,1,0,2.1,ULSAN,Mon Mar 9 13:41:29 2020
3,6,0,0,1.8,SEJONG,Mon Mar 9 13:41:29 2020
11,152,22,1,1.1,GYEONGGI,Mon Mar 9 13:41:29 2020
1,28,3,1,1.8,GANGWON,Mon Mar 9 13:41:29 2020
1,25,3,0,1.6,CHUNGBUK,Mon Mar 9 13:41:29 2020
4,102,1,0,4.8,CHUNGNAM,Mon Mar 9 13:41:29 2020
0,7,2,0,0.4,JEONBUK,Mon Mar 9 13:41:29 2020
0,4,1,0,0.2,JEONNAM,Mon Mar 9 13:41:29 2020
26,1107,57,14,41.6,GYEONGBUK,Mon Mar 9 13:41:29 2020
0,83,9,0,2.5,GYEONGNAM,Mon Mar 9 13:41:29 2020
0,4,1,0,0.6,JEJU,Mon Mar 9 13:41:29 2020
11,141,31,0,1.45,SEOUL,Tue Mar 10 15:02:06 2020
0,96,10,0,2.81,BUSAN,Tue Mar 10 15:02:06 2020
92,5663,92,38,232.42,DAEGU,Tue Mar 10 15:02:06 2020
4,13,3,0,0.44,INCHEON,Tue Mar 10 15:02:06 2020
0,15,3,0,1.03,GWANGJU,Tue Mar 10 15:02:06 2020
-1,18,1,0,1.22,DAEJEON,Tue Mar 10 15:02:06 2020
0,24,1,0,2.09,ULSAN,Tue Mar 10 15:02:06 2020
2,8,0,0,2.34,SEJONG,Tue Mar 10 15:02:06 2020
11,163,22,1,1.23,GYEONGGI,Tue Mar 10 15:02:06 2020
0,28,6,1,1.82,GANGWON,Tue Mar 10 15:02:06 2020
0,25,3,0,1.56,CHUNGBUK,Tue Mar 10 15:02:06 2020
2,104,1,0,4.90,CHUNGNAM,Tue Mar 10 15:02:06 2020
0,7,2,0,0.39,JEONBUK,Tue Mar 10 15:02:06 2020
0,4,1,0,0.21,JEONNAM,Tue Mar 10 15:02:06 2020
10,1117,60,14,41.95,GYEONGBUK,Tue Mar 10 15:02:06 2020
0,83,10,0,2.47,GYEONGNAM,Tue Mar 10 15:02:06 2020
0,4,1,0,0.60,JEJU,Tue Mar 10 15:02:06 2020
52.0,193.0,37.0,0.0,1.98,SEOUL,Wed Mar 11 15:16:21 2020
2.0,98.0,21.0,1.0,2.87,BUSAN,Wed Mar 11 15:16:21 2020
131.0,5794.0,102.0,43.0,237.8,DAEGU,Wed Mar 11 15:16:21 2020
12.0,25.0,3.0,0.0,0.85,INCHEON,Wed Mar 11 15:16:21 2020
0.0,15.0,3.0,0.0,1.03,GWANGJU,Wed Mar 11 15:16:21 2020
0.0,18.0,2.0,0.0,1.22,DAEJEON,Wed Mar 11 15:16:21 2020
1.0,25.0,2.0,0.0,2.18,ULSAN,Wed Mar 11 15:16:21 2020
2.0,10.0,0.0,0.0,2.92,SEJONG,Wed Mar 11 15:16:21 2020
12.0,175.0,25.0,1.0,1.32,GYEONGGI,Wed Mar 11 15:16:21 2020
1.0,29.0,6.0,1.0,1.88,GANGWON,Wed Mar 11 15:16:21 2020
2.0,27.0,3.0,0.0,1.69,CHUNGBUK,Wed Mar 11 15:16:21 2020
8.0,112.0,1.0,0.0,5.28,CHUNGNAM,Wed Mar 11 15:16:21 2020
0.0,7.0,2.0,0.0,0.39,JEONBUK,Wed Mar 11 15:16:21 2020
0.0,4.0,1.0,0.0,0.21,JEONNAM,Wed Mar 11 15:16:21 2020
18.0,1135.0,69.0,14.0,42.63,GYEONGBUK,Wed Mar 11 15:16:21 2020
1.0,84.0,10.0,0.0,2.5,GYEONGNAM,Wed Mar 11 15:16:21 2020
0.0,4.0,1.0,0.0,0.6,JEJU,Wed Mar 11 15:16:21 2020
1.0,99.0,29.0,0.0,2.9,BUSAN,Thu Mar 12 15:47:56 2020
73.0,5867.0,114.0,48.0,240.8,DAEGU,Thu Mar 12 15:47:56 2020
0.0,25.0,4.0,0.0,0.85,INCHEON,Thu Mar 12 15:47:56 2020
0.0,15.0,4.0,0.0,1.03,GWANGJU,Thu Mar 12 15:47:56 2020
2.0,20.0,2.0,0.0,1.36,DAEJEON,Thu Mar 12 15:47:56 2020
0.0,25.0,3.0,0.0,2.18,ULSAN,Thu Mar 12 15:47:56 2020
5.0,15.0,0.0,0.0,4.38,SEJONG,Thu Mar 12 15:47:56 2020
3.0,178.0,27.0,1.0,1.34,GYEONGGI,Thu Mar 12 15:47:56 2020
0.0,29.0,6.0,1.0,1.88,GANGWON,Thu Mar 12 15:47:56 2020
0.0,27.0,4.0,0.0,1.69,CHUNGBUK,Thu Mar 12 15:47:56 2020
2.0,114.0,5.0,0.0,5.37,CHUNGNAM,Thu Mar 12 15:47:56 2020
0.0,7.0,2.0,0.0,0.39,JEONBUK,Thu Mar 12 15:47:56 2020
0.0,4.0,1.0,0.0,0.21,JEONNAM,Thu Mar 12 15:47:56 2020
8.0,1143.0,83.0,16.0,42.93,GYEONGBUK,Thu Mar 12 15:47:56 2020
1.0,85.0,10.0,0.0,2.53,GYEONGNAM,Thu Mar 12 15:47:56 2020
0.0,4.0,1.0,0.0,0.6,JEJU,Thu Mar 12 15:47:56 2020
