"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,"81,008",+41,"3,255",+7,"71,740","6,013","1,927",56
Italy,"47,021","+5,986","4,032",+627,"5,129","37,860","2,655",778
Spain,"21,571","+3,494","1,093",+262,"1,588","18,890",939,461
Germany,"19,848","+4,528",68,+24,180,"19,600",2,237
USA,"19,648","+5,859",263,+56,147,"19,238",64,59
Iran,"19,644","+1,237","1,433",+149,"6,745","11,466",,234
France,"12,612","+1,617",450,+78,"1,587","10,575","1,297",193
S. Korea,"8,799",+234,102,+11,"2,612","6,085",59,172
Switzerland,"5,615","+1,393",56,+13,15,"5,544",,649
UK,"3,983",+714,177,+33,65,"3,741",20,59
Netherlands,"2,994",+534,106,+30,2,"2,886",210,175
Austria,"2,649",+470,6,,9,"2,634",14,294
Belgium,"2,257",+462,37,+16,204,"2,016",164,195
Norway,"1,959",+169,7,,1,"1,951",27,361
Sweden,"1,639",+200,16,+5,16,"1,607",21,162
Denmark,"1,255",+104,9,+3,1,"1,245",37,217
Canada,"1,087",+214,12,,14,"1,061",1,29
Malaysia,"1,030",+130,3,+1,87,940,26,32
Portugal,"1,020",+234,6,+2,5,"1,009",26,100
Brazil,970,+330,11,+4,2,957,18,5
Japan,963,+20,33,,215,715,50,8
Australia,928,+172,7,,46,875,2,36
Czechia,833,+139,,,4,829,6,78
Diamond Princess,712,,8,+1,527,177,14,
Israel,705,+28,1,+1,15,689,10,81
Ireland,683,+126,3,,5,675,6,138
Turkey,670,+311,9,+5,,661,,8
Pakistan,501,+47,3,+1,13,485,,2
Greece,495,+31,10,+4,19,466,20,47
Luxembourg,484,+149,5,+1,6,473,1,773
Qatar,470,+10,,,10,460,6,163
Finland,450,+50,,,10,440,2,81
Chile,434,+92,,,6,428,7,23
Ecuador,426,+166,7,+4,3,416,2,24
Poland,425,+70,5,,13,407,3,11
Iceland,409,+79,,,5,404,1,"1,199"
Singapore,385,+40,,,131,254,14,66
Indonesia,369,+60,32,+7,17,320,,1
Saudi Arabia,344,+70,,,8,336,,10
Slovenia,341,+22,1,,,340,9,164
Thailand,322,+50,1,,42,279,1,5
Romania,308,+31,,,31,277,11,16
Bahrain,298,+19,1,,125,172,4,175
Egypt,285,+29,8,+1,42,235,,3
Estonia,283,+16,,,1,282,1,213
Peru,263,+29,4,+3,1,258,5,8
Hong Kong,256,+48,4,,98,154,4,34
Russia,253,+54,1,,12,240,,2
India,249,+55,5,+1,23,221,,0.2
Philippines,230,+13,18,+1,8,204,1,2
Iraq,208,+16,17,+4,49,142,,5
