General Korean Situation (Covid-19)
Confirmed,Recovered,Deceased,Investigated
"7,134 명",130 명,50 명,"19,376 명"

increase,patient,death,ratio,inspection,Region
12,120,0,1.2,263,SEOUL
increase,patient,death,ratio,inspection,Region
1,97,1,2.8,255,BUSAN
increase,patient,death,ratio,inspection,Region
297,5381,35,220.9,1954,DAEGU
increase,patient,death,ratio,inspection,Region
0,9,0,0.3,323,INCHEON
increase,patient,death,ratio,inspection,Region
0,13,0,0.9,61,GWANGJU
increase,patient,death,ratio,inspection,Region
0,18,0,1.2,105,DAEJEON
increase,patient,death,ratio,inspection,Region
1,24,0,2.1,106,ULSAN
increase,patient,death,ratio,inspection,Region
1,3,0,0.9,126,SEJONG
increase,patient,death,ratio,inspection,Region
11,141,1,1.1,1258,GYEONGGI
increase,patient,death,ratio,inspection,Region
1,27,1,1.8,595,GANGWON
increase,patient,death,ratio,inspection,Region
4,24,0,1.5,194,CHUNGBUK
increase,patient,death,ratio,inspection,Region
6,98,0,4.6,334,CHUNGNAM
increase,patient,death,ratio,inspection,Region
0,7,0,0.4,98,JEONBUK
increase,patient,death,ratio,inspection,Region
0,4,0,0.2,84,JEONNAM
increase,patient,death,ratio,inspection,Region
32,1081,12,40.6,770,GYEONGBUK
increase,patient,death,ratio,inspection,Region
1,83,0,2.5,196,GYEONGNAM
increase,patient,death,ratio,inspection,Region
0,4,0,0.6,43,JEJU
