Region,Sun Sep  6 00:30:13 2020
SEOUL,51|4251|2006|2220|25|43.67
BUSAN,10|329|89|236|4|9.64
DAEGU,5|7077|103|6783|191|290.46
INCHEON,14|784|303|478|3|26.52
GWANGJU,8|413|140|271|2|28.35
DAEJEON,2|288|88|197|3|19.54
ULSAN,1|112|44|67|1|9.76
SEJONG,0|67|9|58|0|19.57
GYEONGGI,50|3578|1256|2277|45|27
GANGWON,3|205|75|127|3|13.31
CHUNGBUK,4|139|44|94|1|8.69
CHUNGNAM,4|378|147|230|1|17.81
JEONBUK,2|89|36|53|0|4.9
JEONNAM,0|156|109|47|0|8.37
GYEONGBUK,1|1473|45|1374|54|55.32
GYEONGNAM,8|251|63|188|0|7.47
JEJU,1|48|21|27|0|7.16
QuarantineAuthority,4|1372|90|1282|0|0
