#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,"31,499,402","+13,861","684,210","+1,520","20,458,166","+10,185","10,357,026","30,161",,,,,,North America,,,
,Asia,"23,520,238","+5,896","378,858",+160,"22,004,301","+17,092","1,137,079","22,718",,,,,,Asia,,,
,South America,"16,383,482","+1,218","427,580",+66,"14,628,666",+908,"1,327,236","19,849",,,,,,South America,,,
,Europe,"31,249,296","+30,486","734,858",+774,"17,884,835","+41,821","12,629,603","29,064",,,,,,Europe,,,
,Africa,"3,676,466",,"94,846",,"3,176,627",,"404,993","2,533",,,,,,Africa,,,
,Oceania,"50,381",+7,"1,078",,"34,107",+4,"15,196",8,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"106,379,986","+51,468","2,321,445","+2,520","78,187,408","+70,010","25,871,133","104,333","13,648",297.8,,,,All,,,
1,USA,"27,519,636",,"473,528",,"17,268,517",,"9,777,591","22,406","82,848","1,426","322,395,403","970,567","332,172,103",North America,12,701,1
2,India,"10,827,314",+144,"155,032",+4,"10,522,601","+1,192","149,681","8,944","7,800",112,"200,672,589","144,560","1,388,160,413",Asia,128,"8,954",7
3,Brazil,"9,497,795",,"231,069",,"8,363,677",,"903,049","8,318","44,493","1,082","28,600,000","133,977","213,469,140",South America,22,924,7
4,Russia,"3,967,281","+16,048","76,661",+432,"3,456,210","+19,884","434,410","2,300","27,178",525,"104,000,000","712,464","145,972,276",Europe,37,"1,904",1
5,UK,"3,929,835",,"112,092",,"1,889,872",,"1,927,871","3,505","57,706","1,646","76,432,166","1,122,336","68,100,941",Europe,17,608,1
6,France,"3,317,333",,"78,794",,"232,693",,"3,005,846","3,225","50,754","1,206","45,597,298","697,626","65,360,708",Europe,20,830,1
7,Spain,"2,971,914",,"61,386",,N/A,N/A,N/A,"4,795","63,549","1,313","33,901,309","724,918","46,765,722",Europe,16,762,1
8,Italy,"2,625,098",,"91,003",,"2,107,061",,"427,034","2,110","43,456","1,506","34,155,937","565,420","60,408,048",Europe,23,664,2
9,Turkey,"2,524,786",,"26,685",,"2,412,505",,"85,596","1,337","29,744",314,"30,486,691","359,156","84,884,320",Asia,34,"3,181",3
10,Germany,"2,284,999",,"61,998",,"2,029,200","+8,300","193,801","4,222","27,220",739,"40,705,522","484,904","83,945,591",Europe,37,"1,354",2
11,Colombia,"2,151,207",,"55,693",,"2,022,331",,"73,183","3,482","42,009","1,088","10,465,124","204,362","51,208,755",South America,24,919,5
12,Argentina,"1,976,689",,"49,110",,"1,772,059",,"155,520","3,550","43,496","1,081","6,483,493","142,666","45,445,177",South America,23,925,7
13,Mexico,"1,926,080","+13,209","165,786","+1,496","1,482,138","+9,987","278,156","5,692","14,845","1,278","4,880,032","37,612","129,746,745",North America,67,783,27
14,Poland,"1,545,530",,"38,994",,"1,307,161","+5,590","199,375","1,336","40,864","1,031","8,880,135","234,790","37,821,543",Europe,24,970,4
15,South Africa,"1,473,700",,"46,180",,"1,340,497",,"87,023",546,"24,661",773,"8,469,756","141,736","59,757,463",Africa,41,"1,294",7
16,Iran,"1,459,370",,"58,412",,"1,247,374",,"153,584","3,802","17,242",690,"9,612,033","113,566","84,638,079",Asia,58,"1,449",9
17,Ukraine,"1,244,849","+3,370","23,597",+81,"1,073,046","+2,297","148,206",177,"28,568",542,"6,350,442","145,738","43,574,465",Europe,35,"1,847",7
18,Peru,"1,180,478",,"42,121",,"1,089,040",,"49,317","2,009","35,506","1,267","6,581,216","197,947","33,247,285",South America,28,789,5
19,Indonesia,"1,147,010",,"31,393",,"939,184",,"176,433",,"4,167",114,"9,643,853","35,035","275,261,552",Asia,240,"8,768",29
20,Czechia,"1,034,975","+4,800","17,235",+61,"919,699",+118,"98,041",989,"96,537","1,608","6,545,770","610,557","10,720,977",Europe,10,622,2
21,Netherlands,"1,001,826",,"14,355",,N/A,N/A,N/A,547,"58,389",837,"6,970,400","406,253","17,157,761",Europe,17,"1,195",2
22,Canada,"801,057",,"20,702",,"734,644",,"45,711",736,"21,113",546,"22,165,779","584,214","37,941,203",North America,47,"1,833",2
23,Portugal,"761,906",,"13,954",,"599,593",,"148,359",891,"74,853","1,371","7,525,732","739,360","10,178,712",Europe,13,729,1
24,Chile,"748,082",,"18,895",,"706,020",,"23,167","1,487","38,932",983,"8,333,834","433,717","19,214,914",South America,26,"1,017",2
25,Romania,"743,343",,"18,809",,"689,474",,"35,060",963,"38,797",982,"5,569,782","290,701","19,159,859",Europe,26,"1,019",3
26,Belgium,"723,870","+2,438","21,352",+57,"49,737",+150,"652,781",291,"62,295","1,838","8,558,699","736,547","11,620,038",Europe,16,544,1
27,Israel,"686,774","+1,191","5,074",+3,"610,104",+730,"71,596","1,110","74,669",552,"10,975,765","1,193,331","9,197,590",Asia,13,"1,813",1
28,Iraq,"627,416",,"13,111",,"599,167",,"15,138",189,"15,393",322,"5,892,705","144,568","40,760,885",Asia,65,"3,109",7
29,Sweden,"588,062",,"12,115",,N/A,N/A,N/A,240,"58,010","1,195","5,499,317","542,489","10,137,199",Europe,17,837,2
30,Pakistan,"554,474","+1,346","11,967",+53,"510,242","+1,542","32,265","1,847","2,481",54,"8,192,720","36,664","223,455,698",Asia,403,"18,673",27
31,Bangladesh,"537,770",,"8,190",,"482,841",,"46,739",,"3,246",49,"3,736,608","22,554","165,675,630",Asia,308,"20,229",44
32,Philippines,"537,310","+1,790","11,179",+70,"499,798","+11,388","26,333",807,"4,864",101,"8,040,840","72,797","110,456,027",Asia,206,"9,881",14
33,Switzerland,"531,873",,"9,606",,"317,600",,"204,667",243,"61,186","1,105","4,479,886","515,360","8,692,724",Europe,16,905,2
34,Morocco,"474,966",,"8,381",,"453,921",,"12,664",361,"12,777",225,"5,446,794","146,525","37,173,241",Africa,78,"4,435",7
35,Austria,"422,522",,"7,994",,"400,851",,"13,677",302,"46,753",885,"4,520,500","500,201","9,037,362",Europe,21,"1,131",2
36,Serbia,"406,352",,"4,112",,"31,536",,"370,704",129,"46,621",472,"2,685,755","308,139","8,716,055",Europe,21,"2,120",3
37,Japan,"401,355",,"6,243",,"358,872",,"36,240",815,"3,179",49,"7,186,880","56,929","126,242,069",Asia,315,"20,221",18
38,Hungary,"376,495","+1,370","13,090",+64,"279,763","+1,814","83,642",291,"39,033","1,357","3,265,862","338,589","9,645,505",Europe,26,737,3
39,Saudi Arabia,"369,961",,"6,397",,"361,237",,"2,327",401,"10,529",182,"12,552,863","357,238","35,138,673",Asia,95,"5,493",3
40,Jordan,"333,855",,"4,369",,"319,490",,"9,996",109,"32,527",426,"4,004,929","390,191","10,264,020",Asia,31,"2,349",3
