#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,"30,126,813","+19,703","641,617","+1,543","19,049,286","+13,614","10,435,910","33,355",,,,,,North America,,,
,Asia,"22,877,486","+7,672","369,562",+85,"21,323,128","+6,743","1,184,796","23,683",,,,,,Asia,,,
,South America,"15,652,343","+2,652","410,512",+59,"13,854,740","+1,345","1,387,091","19,632",,,,,,South America,,,
,Europe,"29,818,838","+17,352","689,534",+314,"16,648,157","+32,744","12,481,147","30,233",,,,,,Europe,,,
,Africa,"3,532,559",,"89,092",,"3,002,587",,"440,880","2,796",,,,,,Africa,,,
,Oceania,"50,118",+13,"1,076",,"34,015",+9,"15,027",10,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"102,058,878","+47,392","2,201,408","+2,001","73,912,619","+54,455","25,944,851","109,709","13,093",282.4,,,,All,,,
1,USA,"26,338,607",,"443,769",,"16,070,127",,"9,824,711","25,494","79,303","1,336","306,452,138","922,703","332,124,463",North America,13,748,1
2,India,"10,720,971",,"154,047",,"10,394,352","+1,190","172,572","8,944","7,725",111,"195,081,079","140,566","1,387,827,050",Asia,129,"9,009",7
3,Brazil,"9,060,786",,"221,676",,"7,923,794",,"915,316","8,318","42,453","1,039","28,600,000","134,000","213,432,042",South America,24,963,7
4,Russia,"3,793,810",,"71,651",,"3,229,258",,"492,901","2,300","25,990",491,"100,700,000","689,864","145,970,742",Europe,38,"2,037",1
5,UK,"3,743,734",,"103,126",,"1,673,936",,"1,966,672","3,937","54,980","1,515","70,872,402","1,040,830","68,092,190",Europe,18,660,1
6,France,"3,130,629",,"74,800",,"220,570",,"2,835,259","3,107","47,900","1,144","42,973,978","657,525","65,357,167",Europe,21,874,2
7,Spain,"2,792,360",,"57,806",,N/A,N/A,N/A,"4,608","59,710","1,236","32,027,728","684,861","46,765,278",Europe,17,809,1
8,Italy,"2,515,507",,"87,381",,"1,953,509",,"474,617","2,288","41,640","1,446","31,886,202","527,828","60,410,226",Europe,24,691,2
9,Turkey,"2,457,118",,"25,605",,"2,340,216",,"91,297","1,751","28,954",302,"29,181,125","343,866","84,862,017",Asia,35,"3,314",3
10,Germany,"2,194,562",,"56,220",,"1,898,900","+15,200","239,442","4,787","26,145",670,"38,533,736","459,068","83,939,021",Europe,38,"1,493",2
11,Colombia,"2,067,575",,"52,913",,"1,894,384",,"120,278","3,482","40,386","1,034","9,904,065","193,456","51,195,427",South America,25,968,5
12,Argentina,"1,905,524",,"47,601",,"1,693,146",,"164,777","3,607","41,940","1,048","6,070,839","133,616","45,434,989",South America,24,954,7
13,Mexico,"1,825,519","+18,670","155,145","+1,506","1,376,073","+13,548","294,301","5,692","14,073","1,196","4,595,309","35,427","129,713,456",North America,71,836,28
14,Poland,"1,496,665",,"36,443",,"1,250,892",,"209,330","1,406","39,571",964,"8,517,260","225,190","37,822,558",Europe,25,"1,038",4
15,South Africa,"1,437,798",,"43,105",,"1,272,197",,"122,496",546,"24,068",722,"8,156,239","136,531","59,739,077",Africa,42,"1,386",7
16,Iran,"1,398,841",,"57,736",,"1,189,975",,"151,130","4,017","16,532",682,"9,125,076","107,847","84,611,644",Asia,60,"1,465",9
17,Ukraine,"1,211,593","+5,181","22,479",+128,"1,003,341","+11,310","185,773",177,"27,801",516,"6,184,320","141,904","43,580,891",Europe,36,"1,939",7
18,Peru,"1,119,685",,"40,484",,"1,033,357",,"45,844","1,833","33,689","1,218","6,213,099","186,939","33,235,988",South America,30,821,5
19,Indonesia,"1,037,993",,"29,331",,"842,122",,"166,540",,"3,772",107,"9,046,675","32,874","275,190,472",Asia,265,"9,382",30
20,Czechia,"972,642","+7,937","16,072",+54,"859,601",+307,"96,969",963,"90,727","1,499","6,058,651","565,147","10,720,490",Europe,11,667,2
21,Netherlands,"966,252",,"13,816",,N/A,N/A,N/A,645,"56,319",805,"6,970,400","406,275","17,156,831",Europe,18,"1,242",2
22,Canada,"766,103",,"19,664",,"689,419",,"57,020",848,"20,196",518,"17,290,560","455,818","37,933,075",North America,50,"1,929",2
23,Romania,"721,513",,"18,105",,"666,001",,"37,407",989,"37,651",945,"5,379,447","280,721","19,162,998",Europe,27,"1,058",4
24,Chile,"714,143",,"18,174",,"670,336",,"25,633","1,339","37,174",946,"7,843,425","408,280","19,210,884",South America,27,"1,057",2
25,Belgium,"702,437","+2,775","20,982",+49,"48,556",+165,"632,899",313,"60,457","1,806","8,097,062","696,893","11,618,801",Europe,17,554,1
26,Portugal,"685,383",,"11,608",,"493,699",,"180,076",782,"67,330","1,140","7,028,227","690,434","10,179,440",Europe,15,877,1
27,Israel,"631,226","+2,331","4,671",+2,"551,989",+270,"74,566","1,135","68,629",508,"10,404,090","1,131,176","9,197,590",Asia,15,"1,969",1
28,Iraq,"617,202",,"13,024",,"588,260",,"15,918",166,"15,150",320,"5,520,056","135,499","40,738,637",Asia,66,"3,128",7
29,Sweden,"564,557",,"11,520",,N/A,N/A,N/A,264,"55,700","1,137","4,916,367","485,057","10,135,653",Europe,18,880,2
30,Pakistan,"541,031","+1,644","11,560",+46,"496,745","+2,167","32,726","2,133","2,422",52,"7,848,316","35,139","223,350,053",Asia,413,"19,321",28
31,Bangladesh,"533,953",,"8,087",,"478,546",,"47,320",,"3,224",49,"3,615,338","21,827","165,635,315",Asia,310,"20,482",46
32,Philippines,"519,575",,"10,552",,"475,596",,"33,427",727,"4,705",96,"7,700,180","69,735","110,420,159",Asia,213,"10,464",14
33,Switzerland,"519,404",,"9,308",,"317,600",,"192,496",255,"59,762","1,071","4,266,245","490,871","8,691,170",Europe,17,934,2
34,Morocco,"469,139",,"8,224",,"447,076",,"13,839",470,"12,624",221,"5,323,718","143,255","37,162,486",Africa,79,"4,519",7
35,Austria,"410,230",,"7,607",,"387,787",,"14,836",298,"45,399",842,"4,233,116","468,467","9,036,101",Europe,22,"1,188",2
36,Serbia,"390,637",,"3,965",,"31,536",,"355,136",162,"44,814",455,"2,588,844","296,991","8,716,916",Europe,22,"2,198",3
37,Japan,"375,607",,"5,361",,"314,434",,"55,812","1,032","2,975",42,"6,640,966","52,601","126,251,548",Asia,336,"23,550",19
38,Saudi Arabia,"367,276",,"6,366",,"358,753",,"2,157",362,"10,456",181,"12,173,510","346,574","35,125,331",Asia,96,"5,518",3
39,Hungary,"364,909","+1,459","12,374",+83,"254,783","+5,780","97,752",258,"37,830","1,283","3,116,784","323,113","9,646,106",Europe,26,780,3
40,Jordan,"324,169",,"4,269",,"311,888",,"8,012",131,"31,591",416,"3,806,949","370,992","10,261,531",Asia,32,"2,404",3
41,Panama,"316,808",,"5,196",,"269,637",,"41,975",246,"72,766","1,193","1,652,122","379,468","4,353,782",North America,14,838,3
42,Lebanon,"293,157",,"2,621",,"172,497",,"118,039",938,"43,063",385,"2,559,150","375,921","6,807,676",Asia,23,"2,597",3
43,UAE,"293,052",,819,,"267,024",,"25,209",,"29,425",82,"25,041,562","2,514,414","9,959,203",Asia,34,"12,160",0
44,Nepal,"270,588",,"2,020",,"265,365",,"3,203",,"9,192",69,"2,060,860","70,008","29,437,382",Asia,109,"14,573",14
45,Georgia,"256,956",+669,"3,148",+21,"247,096",+637,"6,712",,"64,485",790,"2,177,448","546,449","3,984,722",Asia,16,"1,266",2
46,Ecuador,"246,000",,"14,766",,"204,071",,"27,163",508,"13,823",830,"866,775","48,703","17,796,996",South America,72,"1,205",21
47,Slovakia,"243,427",,"4,411",,"205,247",,"33,769",575,"44,574",808,"1,733,752","317,469","5,461,175",Europe,22,"1,238",3
48,Belarus,"242,851",,"1,688",,"229,199",,"11,964",,"25,705",179,"4,415,199","467,339","9,447,520",Europe,39,"5,597",2
49,Croatia,"230,978",,"4,943",,"222,862",,"3,173",128,"56,466","1,208","1,175,831","287,452","4,090,536",Europe,18,828,3
50,Azerbaijan,"229,793",,"3,113",,"222,154",,"4,526",,"22,547",305,"2,387,134","234,219","10,191,896",Asia,44,"3,274",4
51,Bulgaria,"217,574",,"8,973",,"182,925",,"25,676",257,"31,450","1,297","1,371,485","198,249","6,917,987",Europe,32,771,5
52,Bolivia,"210,726","+2,652","10,226",+59,"155,722","+1,345","44,778",71,"17,912",869,"544,968","46,323","11,764,607",South America,56,"1,150",22
53,Dominican Republic,"208,610",,"2,603",,"151,703",,"54,304",288,"19,120",239,"1,026,338","94,068","10,910,623",North America,52,"4,192",11
54,Tunisia,"204,351",,"6,508",,"152,436",,"45,407",430,"17,187",547,"842,358","70,847","11,889,893",Africa,58,"1,827",14
55,Malaysia,"198,208",,717,,"154,299",,"43,192",303,"6,079",22,"4,666,138","143,113","32,604,645",Asia,164,"45,474",7
56,Denmark,"197,208",,"2,071",,"184,853",,"10,284",113,"33,978",357,"13,126,327","2,261,597","5,804,007",Europe,29,"2,803",0
57,Ireland,"192,645",,"3,167",,"23,364",,"166,114",216,"38,765",637,"3,017,920","607,281","4,969,561",Europe,26,"1,569",2
58,Costa Rica,"192,637",,"2,599",,"151,382",,"38,656",175,"37,617",508,"577,889","112,848","5,120,950",North America,27,"1,970",9
59,Kazakhstan,"183,999","+1,469","2,476",,"165,595","+1,276","15,928",221,"9,732",131,"5,942,556","314,321","18,906,029",Asia,103,"7,636",3
60,Lithuania,"180,170",,"2,743",,"125,067",,"52,360",176,"66,727","1,016","1,879,898","696,234","2,700,097",Europe,15,984,1
61,Armenia,"166,728",+59,"3,069",+2,"156,910",+265,"6,749",,"56,205","1,035","644,796","217,363","2,966,451",Asia,18,967,5
62,Egypt,"164,282",,"9,169",,"128,440",,"26,673",90,"1,588",89,"1,000,000","9,667","103,440,791",Africa,630,"11,282",103
63,Kuwait,"163,450",,958,,"156,387",,"6,105",46,"37,951",222,"1,500,913","348,493","4,306,871",Asia,26,"4,496",3
64,Slovenia,"163,235",,"3,448",,"142,134",,"17,653",171,"78,512","1,658","792,287","381,071","2,079,104",Europe,13,603,3
65,Moldova,"158,309",,"3,413",,"148,432",,"6,464",242,"39,297",847,"620,929","154,133","4,028,519",Europe,25,"1,180",6
