Region	Sun Aug  2 19:56:11 2020	Mon Aug 17 02:38:55 2020	Sat Aug 22 20:50:01 2020	Sat Aug 29 04:50:25 2020
SEOUL	5|1607|154|1442|11|16.51	146|1987|257|1571|13|20.41	128|2749|1094|1639|16|28.24	146|3532|1751|1762|19|36.29
BUSAN	1|173|16|154|3|5.07	7|208|36|162|3|6.1	3|257|82|172|3|7.53	8|285|91|191|3|8.35
DAEGU	2|6942|6|6745|191|284.92	1|6947|4|6751|191|285.12	9|6972|28|6753|191|286.15	8|7007|61|6755|191|287.59
INCHEON	0|384|16|366|2|12.99	9|408|16|380|3|13.8	22|491|104|384|3|16.61	27|671|276|392|3|22.70
GWANGJU	1|205|60|143|2|14.07	7|228|25|194|2|15.65	11|262|52|208|2|17.99	17|347|125|220|2|23.82
DAEJEON	0|166|5|159|2|11.26	0|168|2|164|2|11.4	5|190|24|164|2|12.89	3|239|73|164|2|16.21
ULSAN	0|59|4|54|1|5.14	3|65|5|56|1|5.67	3|72|13|58|1|6.28	1|81|19|61|1|7.06
SEJONG	0|50|0|50|0|14.61	0|50|0|50|0|14.61	1|57|7|50|0|16.65	2|65|15|50|0|18.99
GYEONGGI	3|1556|184|1341|31|11.74	98|1898|285|1483|32|14.32	95|2402|819|1550|33|18.13	113|2997|1255|1706|36|22.62
GANGWON	0|74|4|67|3|4.8	0|81|6|72|3|5.26	16|120|43|74|3|7.79	3|184|103|78|3|11.94
CHUNGBUK	0|73|3|70|0|4.56	1|83|9|73|0|5.19	2|95|17|78|0|5.94	5|116|34|81|1|7.25
CHUNGNAM	0|190|4|185|1|8.95	5|207|12|189|1|9.75	7|244|51|192|1|11.5	9|307|105|201|1|14.46
JEONBUK	0|39|5|34|0|2.15	0|43|5|38|0|2.37	4|67|29|38|0|3.69	2|86|45|41|0|4.73
JEONNAM	0|38|14|24|0|2.04	0|42|10|32|0|2.25	7|60|22|38|0|3.22	12|120|80|40|0|6.44
GYEONGBUK	1|1403|10|1339|54|52.69	0|1412|12|1346|54|53.03	4|1435|27|1354|54|53.9	1|1449|39|1356|54|54.42
GYEONGNAM	0|159|6|153|0|4.73	2|170|9|159|0|5.06	9|187|22|165|0|5.56	4|216|50|166|0|6.43
JEJU	0|26|5|21|0|3.88	0|26|3|23|0|3.88	2|28|3|25|0|4.17	2|36|11|25|0|5.37
QuarantineAuthority	17|1222|310|912|0|0	0|1295|137|1158|0|0	4|1314|87|1227|0|0	8|1339|77|1262|0|0
