Region,Sun Sep  6 00:30:13 2020,Fri Oct  9 22:05:32 2020,Sun Nov 22 21:39:26 2020,Fri Jan 29 17:04:48 2021,Sun Feb  7 18:24:27 2021,Thu Apr  8 18:21:36 2021,Fri Apr 16 01:09:58 2021
SEOUL,51|4251|2006|2220|25|43.67,22|5485|577|4846|62|56.35,121|7513|1257|6171|85|77.19,112|23908|4105|19486|317|245.63,144|25167|3737|21092|338|64.44,244|33441|2469|30541|431|343.57,217|34855|2490|31925|440|358.09
BUSAN,10|329|89|236|4|9.64,5|478|80|394|4|14.01,1|632|34|583|15|18.52,34|2717|406|2219|92|79.63,9|2885|339|2450|96|17.59,52|4192|593|3480|119|122.87,54|4535|590|3825|120|132.92
DAEGU,5|7077|103|6783|191|290.46,1|7138|15|6927|196|292.96,1|7213|30|6986|197|296.04,10|8290|132|7951|207|340.24,12|8390|124|8056|210|294.85,10|9041|168|8655|218|371.07,18|9123|140|8764|219|374.43
INCHEON,14|784|303|478|3|26.52,0|956|75|873|8|32.34,27|1206|143|1052|11|40.80,19|3777|338|3391|48|127.77,17|3965|334|3580|51|35.93,25|5266|298|4910|58|178.14,17|5423|285|5080|58|183.45
GWANGJU,8|413|140|271|2|28.35,0|496|4|489|3|34.05,8|614|97|514|3|42.15,54|1733|362|1354|17|118.97,10|1893|374|1500|19|35.42,0|2228|25|2182|21|152.95,4|2256|42|2193|21|154.87
DAEJEON,2|288|88|197|3|19.54,5|382|27|350|5|25.91,0|457|14|437|6|31.00,1|1095|151|931|13|74.28,6|1121|62|1045|14|30.12,25|1484|222|1246|16|100.67,10|1581|251|1314|16|107.25
ULSAN,1|112|44|67|1|9.76,0|154|8|144|2|13.43,1|172|7|163|2|15.00,2|929|35|858|36|80.99,1|944|17|890|37|14.38,13|1224|115|1072|37|106.71,21|1386|214|1135|37|120.83
SEJONG,0|67|9|58|0|19.57,0|78|5|73|0|22.79,0|86|4|82|0|25.12,0|194|27|166|1|56.67,1|198|7|190|1|23.95,7|316|65|250|1|92.31,3|338|36|301|1|98.74
GYEONGGI,50|3578|1256|2277|45|27,12|4601|361|4160|80|34.72,75|6442|818|5514|110|48.62,135|19544|1947|17175|422|147.5,113|20563|1985|18136|442|42.62,230|29792|2145|27097|550|224.84,224|31189|2367|28259|563|235.38
GANGWON,3|205|75|127|3|13.31,0|224|3|218|3|14.54,13|504|198|301|5|32.72,8|1686|230|1426|30|109.44,6|1736|161|1542|33|19.21,7|2435|176|2211|48|158.06,18|2492|126|2316|50|161.76
CHUNGBUK,4|139|44|94|1|8.69,1|178|23|154|1|11.13,0|225|26|196|3|14.07,9|1562|192|1316|54|97.66,1|1617|135|1425|57|12.19,8|2298|195|2042|61|143.68,20|2404|164|2179|61|150.31
CHUNGNAM,4|378|147|230|1|17.81,0|491|39|446|6|23.13,13|782|165|609|8|36.84,6|2002|158|1811|33|94.32,14|2114|176|1905|33|29.92,20|2730|129|2566|35|128.62,4|2831|164|2631|36|133.38
JEONBUK,2|89|36|53|0|4.9,0|149|34|115|0|8.20,12|220|54|165|1|12.11,6|1034|70|920|44|56.9,0|1059|60|949|50|9.19,24|1611|222|1332|57|88.65,16|1772|261|1454|57|97.51
JEONNAM,0|156|109|47|0|8.37,1|174|9|163|2|9.33,13|353|162|189|2|18.93,5|747|133|607|7|40.06,4|766|75|684|7|10.19,1|945|46|891|8|50.68,11|990|77|903|10|53.09
GYEONGBUK,1|1473|45|1374|54|55.32,0|1568|46|1466|56|58.89,6|1663|69|1537|57|62.46,43|2979|231|2682|66|111.89,1|3065|208|2787|70|59.76,11|3639|182|3381|76|136.68,19|3743|205|3461|77|140.58
GYEONGNAM,8|251|63|188|0|7.47,1|296|11|285|0|8.81,19|476|126|350|0|14.16,15|1981|236|1736|9|58.93,4|2064|161|1893|10|10.20,11|3096|209|2870|17|92.11,24|3256|229|3010|17|96.87
JEJU,1|48|21|27|0|7.16,0|59|0|59|0|8.80,0|65|6|59|0|9.69,1|519|24|495|0|77.38,2|537|19|518|0|8.95,5|644|24|619|1|96.01,3|668|38|629|1|99.59
QuarantineAuthority,4|1372|90|1282|0|0,6|1569|162|1407|0|,20|2110|552|1558|0|,9|2698|716|1979|3|,27|2812|586|2223|3|,7|3216|197|3015|4|,15|3275|137|3134|4|
