#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
,North America,"1,635,115","+2,948","99,934",+301,"408,578","1,126,603","17,295",,,,,,North America
,Europe,"1,741,749",+620,"160,512",+30,"741,256","839,981","12,201",,,,,,Europe
,South America,"403,345","+2,273","21,460",+157,"139,719","242,166","10,271",,,,,,South America
,Asia,"759,907","+1,983","23,996",+33,"432,751","303,160","4,934",,,,,,Asia
,Africa,"79,931",+151,"2,640",+1,"30,226","47,065",288,,,,,,Africa
,Oceania,"8,639",+18,119,,"7,881",639,19,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,"4,629,407","+7,993","308,676",+522,"1,761,062","2,559,669","45,012",594,39.6,,,,All
1,USA,"1,484,285",,"88,507",,"327,751","1,068,027","16,139","4,488",268,"11,090,900","33,532","330,758,784",North America
2,Spain,"274,367",,"27,459",,"188,967","57,941","1,320","5,868",587,"2,467,761","52,783","46,752,556",Europe
3,Russia,"262,843",,"2,418",,"58,226","202,199","2,300","1,801",17,"6,413,948","43,953","145,926,781",Europe
4,UK,"236,711",,"33,998",,N/A,N/A,"1,559","3,489",501,"2,353,078","34,685","67,841,324",Europe
5,Italy,"223,885",,"31,610",,"120,205","72,070",808,"3,702",523,"2,875,680","47,553","60,472,650",Europe
6,Brazil,"220,291","+2,068","14,962",+145,"84,970","120,359","8,318","1,037",70,"735,224","3,462","212,368,566",South America
7,France,"179,506",,"27,529",,"60,448","91,529","2,203","2,751",422,"1,384,633","21,219","65,255,646",Europe
8,Germany,"175,699",,"8,001",,"152,600","15,098","1,294","2,098",96,"3,147,771","37,585","83,750,665",Europe
9,Turkey,"146,457",,"4,055",,"106,133","36,269",944,"1,739",48,"1,547,389","18,373","84,222,640",Asia
10,Iran,"116,635",,"6,902",,"91,836","17,897","2,727","1,391",82,"658,604","7,854","83,853,830",Asia
11,India,"85,940",+156,"2,753",,"30,258","52,929",,62,2,"2,134,277","1,549","1,378,270,651",Asia
12,Peru,"84,495",,"2,392",,"27,147","54,956",851,"2,567",73,"605,383","18,394","32,912,133",South America
13,Canada,"74,613",,"5,562",,"36,895","32,156",502,"1,979",148,"1,225,049","32,495","37,700,059",North America
14,Belgium,"54,644",,"8,959",,"14,301","31,384",380,"4,717",773,"645,314","55,711","11,583,327",Europe
15,Saudi Arabia,"49,176",,292,,"21,869","27,015",167,"1,415",8,"530,265","15,263","34,742,883",Asia
16,Mexico,"45,032","+2,437","4,767",+290,"30,451","9,814",378,350,37,"163,691","1,271","128,759,156",North America
17,Netherlands,"43,681",,"5,643",,N/A,N/A,378,"2,550",329,"287,943","16,809","17,130,183",Europe
