#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,"7,189,651","+40,376","266,960","+1,275","4,113,964","+15,309","2,808,727","20,545",,,,,,North America,,,
,South America,"6,062,205","+12,319","197,111",+499,"4,658,090","+9,548","1,207,004","15,083",,,,,,South America,,,
,Asia,"6,783,852","+101,957","138,128","+1,576","5,411,575","+86,387","1,234,149","18,911",,,,,,Asia,,,
,Europe,"3,510,739","+29,719","206,919",+327,"2,043,814","+10,734","1,260,006","5,641",,,,,,Europe,,,
,Africa,"1,230,099","+4,850","28,988",+78,"960,500","+2,646","240,611","1,288",,,,,,Africa,,,
,Oceania,"28,081",+167,612,+12,"22,674",+274,"4,795",49,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"24,805,348","+189,388","838,733","+3,767","17,211,268","+124,898","6,755,347","61,521","3,182",107.6,,,,All,,,
1,USA,"6,079,315","+32,681","185,478",+682,"3,358,581","+10,641","2,535,256","16,224","18,349",560,"80,039,829","241,586","331,309,290",North America,54,"1,786",4
2,Brazil,"3,772,945","+8,452","118,988",+262,"2,947,250",,"706,707","8,318","17,730",559,"14,172,764","66,602","212,797,254",South America,56,"1,788",15
3,India,"3,461,240","+76,665","62,713","+1,019","2,647,538","+64,475","750,989","8,944","2,504",45,"39,477,848","28,563","1,382,122,843",Asia,399,"22,039",35
4,Russia,"980,405","+4,829","16,914",+110,"798,466","+5,905","165,025","2,300","6,718",116,"35,751,747","244,968","145,944,502",Europe,149,"8,629",4
5,Peru,"621,997",,"28,277",,"429,662",,"164,058","1,526","18,824",856,"3,089,459","93,499","33,042,679",South America,53,"1,169",11
6,South Africa,"618,286",,"13,628",,"531,338",,"73,320",539,"10,405",229,"3,617,982","60,884","59,424,468",Africa,96,"4,360",16
7,Colombia,"582,022",,"18,468",,"417,793",,"145,761","1,493","11,420",362,"2,619,712","51,400","50,967,362",South America,88,"2,760",19
8,Mexico,"579,914","+6,026","62,594",+518,"400,479","+3,721","116,841","3,294","4,490",485,"1,304,776","10,103","129,143,835",North America,223,"2,063",99
9,Spain,"455,621","+3,829","29,011",+15,N/A,N/A,N/A,751,"9,744",620,"8,517,446","182,161","46,757,684",Europe,103,"1,612",5
10,Chile,"405,972","+1,870","11,132",+60,"379,452","+1,530","15,388","1,012","21,209",582,"2,333,516","121,906","19,141,918",South America,47,"1,720",8
11,Argentina,"380,292",,"8,129",+79,"280,165","+5,707","91,998","2,075","8,402",180,"1,196,878","26,444","45,260,657",South America,119,"5,568",38
12,Iran,"369,911","+2,115","21,249",+112,"318,270","+1,632","30,392","3,811","4,395",252,"3,161,894","37,570","84,159,305",Asia,228,"3,961",27
13,UK,"331,644","+1,276","41,486",+9,N/A,N/A,N/A,71,"4,881",611,"16,273,209","239,515","67,942,448",Europe,205,"1,638",4
14,Saudi Arabia,"312,924","+1,069","3,813",+28,"287,403","+1,148","21,708","1,576","8,967",109,"4,792,192","137,324","34,897,048",Asia,112,"9,152",7
15,Bangladesh,"306,794","+2,211","4,174",+47,"196,836","+3,378","105,784",,"1,860",25,"1,514,126","9,180","164,945,471",Asia,538,"39,517",109
16,Pakistan,"295,053",+415,"6,283",+9,"279,937",+376,"8,833",644,"1,332",28,"2,559,261","11,552","221,542,355",Asia,751,"35,261",87
17,France,"267,077","+7,379","30,596",+20,"86,177",+193,"150,304",387,"4,090",469,"6,030,812","92,360","65,296,569",Europe,244,"2,134",11
18,Turkey,"265,515","+1,517","6,245",+36,"241,809","+1,017","17,461",896,"3,143",74,"6,835,674","80,914","84,480,373",Asia,318,"13,528",12
19,Italy,"265,409","+1,462","35,472",+9,"206,902",+348,"23,035",74,"4,391",587,"8,410,510","139,137","60,447,487",Europe,228,"1,704",7
