#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,"6,849,030","+9,045","257,026",+566,"3,833,509","+5,200","2,758,495","21,477",,,,,,North America,,,
,South America,"5,636,823","+1,370","186,016",+61,"4,188,934","+1,030","1,261,873","14,879",,,,,,South America,,,
,Asia,"6,139,049","+19,878","127,823",+339,"4,819,258","+14,094","1,191,968","18,965",,,,,,Asia,,,
,Europe,"3,324,122","+10,620","205,034",+221,"1,977,127","+11,460","1,141,961","5,201",,,,,,Europe,,,
,Africa,"1,172,811",+9,"27,377",+3,"892,304",,"253,130","1,202",,,,,,Africa,,,
,Oceania,"26,983",+201,512,+13,"20,685",+299,"5,786",54,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"23,149,539","+41,123","803,803","+1,203","15,732,468","+32,083","6,613,268","61,782","2,970",103.1,,,,All,,,
1,USA,"5,798,983","+2,256","179,240",+40,"3,127,418",,"2,492,325","16,801","17,505",541,"74,718,580","225,547","331,277,530",North America,57,"1,848",4
2,Brazil,"3,536,488",,"113,454",,"2,670,755",,"752,279","8,318","16,621",533,"14,144,344","66,476","212,772,522",South America,60,"1,875",15
3,India,"2,979,562","+6,194","55,950",+22,"2,223,202","+2,403","700,410","8,944","2,156",40,"34,491,073","24,959","1,381,900,601",Asia,464,"24,699",40
4,Russia,"951,897","+4,921","16,310",+121,"767,477","+6,147","168,110","2,300","6,522",112,"33,800,000","231,597","145,943,480",Europe,153,"8,948",4
5,South Africa,"603,338",,"12,843",,"500,102",,"90,393",539,"10,155",216,"3,504,507","58,986","59,412,210",Africa,98,"4,626",17
6,Peru,"576,067",,"27,245",,"384,908",,"163,914","1,530","17,438",825,"2,915,372","88,251","33,035,148",South America,57,"1,213",11
7,Mexico,"549,734","+5,928","59,610",+504,"376,409","+4,771","113,715","3,518","4,257",462,"1,239,133","9,597","129,121,642",North America,235,"2,166",104
8,Colombia,"522,138",,"16,568",,"348,940",,"156,630","1,493","10,246",325,"2,409,706","47,288","50,958,476",South America,98,"3,076",21
9,Spain,"407,879",,"28,838",,N/A,N/A,N/A,541,"8,723",617,"7,955,615","170,147","46,757,388",Europe,115,"1,621",6
10,Chile,"393,769",,"10,723",,"367,897",,"15,149","1,072","20,574",560,"2,142,301","111,932","19,139,231",South America,49,"1,785",9
11,Iran,"356,792","+2,028","20,502",+126,"307,702","+1,836","28,588","3,850","4,240",244,"3,011,310","35,789","84,141,682",Asia,236,"4,104",28
12,Argentina,"329,043",,"6,730",,"239,806",,"82,507","1,853","7,271",149,"1,052,687","23,262","45,253,865",South America,138,"6,724",43
13,UK,"323,313",,"41,405",,N/A,N/A,N/A,76,"4,759",609,"15,177,265","223,403","67,936,614",Europe,210,"1,641",4
14,Saudi Arabia,"305,186",,"3,580",,"277,067",,"24,539","1,675","8,748",103,"4,501,104","129,015","34,888,154",Asia,114,"9,745",8
15,Bangladesh,"292,625","+2,265","3,907",+46,"175,567","+2,952","113,151",,"1,774",24,"1,431,855","8,682","164,918,594",Asia,564,"42,211",115
16,Pakistan,"292,174",+586,"6,231",+12,"275,317","+1,738","10,626",731,"1,319",28,"2,414,902","10,904","221,471,926",Asia,758,"35,544",92
17,Italy,"257,065",,"35,427",,"204,960",,"16,678",69,"4,253",586,"7,862,592","130,070","60,448,938",Europe,235,"1,706",8
18,Turkey,"255,723",,"6,080",,"235,569",,"14,074",749,"3,028",72,"6,154,157","72,860","84,465,504",Asia,330,"13,892",14
19,France,"234,400",,"30,503",,"84,829",,"119,068",379,"3,590",467,"6,000,000","91,892","65,294,208",Europe,279,"2,141",11
20,Germany,"233,021",,"9,328",,"208,950","+3,150","14,743",236,"2,780",111,"10,197,366","121,655","83,822,211",Europe,360,"8,986",8
21,Iraq,"197,085",,"6,283",,"140,446",,"50,356",587,"4,885",156,"1,393,488","34,541","40,343,106",Asia,205,"6,421",29
22,Philippines,"187,249","+4,884","2,966",+26,"114,921",+402,"69,362",717,"1,706",27,"2,238,793","20,393","109,782,500",Asia,586,"37,014",49
23,Indonesia,"151,498","+2,090","6,594",+94,"105,198","+2,207","39,706",,553,24,"1,989,870","7,264","273,926,831",Asia,"1,808","41,542",138
24,Canada,"124,372",,"9,064",,"110,648",,"4,660",62,"3,291",240,"5,034,059","133,216","37,788,569",North America,304,"4,169",8
25,Qatar,"116,481",,193,,"113,216",,"3,072",66,"41,485",69,"577,122","205,542","2,807,805",Asia,24,"14,548",5
26,Bolivia,"107,435","+1,370","4,366",+61,"42,141","+1,030","60,928",71,"9,186",373,"227,931","19,490","11,694,986",South America,109,"2,679",51
27,Ecuador,"106,481",,"6,248",,"87,730",,"12,503",350,"6,023",353,"301,496","17,053","17,679,810",South America,166,"2,830",59
28,Kazakhstan,"104,313",+242,"1,415",,"89,712","+1,792","13,186",221,"5,546",75,"2,291,327","121,828","18,807,869",Asia,180,"13,292",8
29,Ukraine,"102,971","+2,328","2,244",+37,"51,735",+657,"48,992",177,"2,357",51,"1,400,726","32,057","43,695,147",Europe,424,"19,472",31
30,Israel,"100,716",,809,,"77,785",,"22,122",390,"10,950",88,"2,180,096","237,029","9,197,590",Asia,91,"11,369",4
31,Egypt,"97,148",,"5,231",,"64,318",,"27,599",41,947,51,"135,000","1,316","102,595,748",Africa,"1,056","19,613",760
32,Dominican Republic,"89,867",,"1,533",,"59,132",,"29,202",287,"8,273",141,"339,860","31,286","10,863,103",North America,121,"7,086",32
33,Sweden,"86,068",,"5,810",,N/A,N/A,N/A,26,"8,515",575,"1,030,010","101,899","10,108,172",Europe,117,"1,740",10
34,Panama,"84,392",,"1,859",,"59,722",,"22,811",153,"19,517",430,"287,300","66,442","4,324,067",North America,51,"2,326",15
35,Oman,"83,769",,609,,"78,386",,"4,774",151,"16,349",119,"309,212","60,348","5,123,786",Asia,61,"8,413",17
36,Belgium,"80,894",+716,"9,985",+9,"18,165",+34,"52,744",74,"6,976",861,"2,099,750","181,063","11,596,801",Europe,143,"1,161",6
37,Kuwait,"79,269",,511,,"71,264",,"7,494",95,"18,524",119,"581,118","135,799","4,279,248",Asia,54,"8,374",7
38,Romania,"77,544","+1,189","3,233",+37,"35,079",+556,"39,232",504,"4,035",168,"1,639,370","85,300","19,218,793",Europe,248,"5,945",12
39,Belarus,"70,111",,632,,"68,256",,"1,223",,"7,420",67,"1,455,885","154,080","9,448,874",Europe,135,"14,951",6
40,Guatemala,"66,941",,"2,532",,"55,314",,"9,095",5,"3,727",141,"216,776","12,070","17,960,500",North America,268,"7,093",83
41,UAE,"66,617",+424,372,+2,"58,408",+112,"7,837",,"6,724",38,"6,418,188","647,845","9,906,975",Asia,149,"26,632",2
42,Netherlands,"65,589",,"6,195",,N/A,N/A,N/A,56,"3,827",361,"1,312,787","76,591","17,140,305",Europe,261,"2,767",13
