"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,"81,093",+39,"3,270",+9,"72,703","5,120","1,749",56
Italy,"59,138",,"5,476",,"7,024","46,638","3,000",978
USA,"35,075","+1,529",458,+39,178,"34,439",795,106
Spain,"33,089","+4,321","2,206",+434,"3,355","27,528","2,355",708
Germany,"27,181","+2,308",113,+19,422,"26,646",23,324
Iran,"23,049","+1,411","1,812",+127,"8,376","12,861",,274
France,"16,689",+671,674,,"2,200","13,815","1,746",256
S. Korea,"8,961",+64,111,+7,"3,166","5,684",59,175
Switzerland,"8,547","+1,073",118,+20,131,"8,298",141,988
UK,"5,683",,289,+8,135,"5,259",20,84
Netherlands,"4,749",+545,213,+34,2,"4,534",354,277
Austria,"3,923",+341,16,,9,"3,898",14,436
Belgium,"3,743",+342,88,+13,401,"3,254",322,323
Norway,"2,538",+153,9,+2,6,"2,523",41,468
Portugal,"2,060",+460,23,+9,14,"2,023",47,202
Sweden,"2,038",+104,25,+4,16,"1,997",104,202
Australia,"1,717",+108,7,,88,"1,622",11,67
Brazil,"1,620",+74,25,,2,"1,593",18,8
Malaysia,"1,518",+212,14,+4,159,"1,345",57,47
Canada,"1,472",+2,20,,14,"1,438",1,39
Denmark,"1,450",+55,24,+11,1,"1,425",55,250
Israel,"1,238",+167,1,,37,"1,200",24,143
Turkey,"1,236",,30,,,"1,206",,15
Czechia,"1,165",+45,1,,6,"1,158",19,109
Japan,"1,101",,41,,235,825,49,9
Ireland,906,,4,,5,897,29,183
Pakistan,825,+49,6,+1,13,806,,4
Luxembourg,798,,8,,6,784,3,"1,275"
Ecuador,789,,14,,3,772,2,45
Chile,746,+114,1,,8,737,7,39
Thailand,721,+122,1,,52,668,7,10
Diamond Princess,712,,8,,567,137,15,
Finland,700,+74,1,,10,689,13,126
Poland,684,+50,8,+1,13,663,3,18
Greece,624,,17,+2,19,588,18,60
Iceland,588,+20,1,,36,551,14,"1,723"
Indonesia,579,+65,49,+1,30,500,,2
Romania,576,+143,5,+2,73,498,15,30
Saudi Arabia,562,+51,,,19,543,,16
Singapore,509,+54,2,,152,355,14,87
Qatar,494,,,,33,461,6,171
Philippines,462,+82,33,+8,18,411,1,4
Slovenia,442,+28,3,+1,,439,12,213
Russia,438,+71,1,,17,420,,3
India,425,+29,8,+1,24,393,,0.3
South Africa,402,+128,,,2,400,,7
Peru,363,,5,,1,357,5,11
Hong Kong,356,+38,4,,100,252,4,47
Estonia,352,+26,,,4,348,4,265
Bahrain,339,+5,2,,160,177,3,199
Egypt,327,,14,,56,257,,3
Mexico,316,+65,2,,4,310,1,2
Panama,313,,3,,1,309,7,73
Croatia,306,+52,1,,5,300,5,75
Lebanon,267,+19,4,,8,255,4,39
Iraq,266,+33,23,+3,62,181,,7
Argentina,266,,4,,27,235,,6
Colombia,235,+4,2,,3,230,,5
Serbia,222,,2,,2,218,4,25
Dominican Republic,202,,3,,,199,,19
Algeria,201,,17,,65,119,,5
UAE,198,+45,2,,41,155,2,20
Taiwan,195,+26,2,,28,165,,8
Armenia,194,,,,2,192,6,65
Bulgaria,190,+3,3,,3,184,8,27
Kuwait,189,+1,,,30,159,5,44
San Marino,187,+12,20,,4,163,13,"5,511"
Slovakia,186,+1,,,7,179,2,34
Latvia,180,+41,,,1,179,,95
Hungary,167,+36,7,+1,16,144,6,17
Uruguay,158,,,,,158,2,45
Lithuania,154,+11,1,,1,152,1,57
North Macedonia,136,+21,2,+1,1,133,1,65
Morocco,134,+19,4,,3,127,1,4
Costa Rica,134,,2,,2,130,2,26
Andorra,133,+20,1,,1,131,2,"1,721"
Bosnia and Herzegovina,128,+2,1,,2,125,1,39
Vietnam,122,+9,,,17,105,2,1
Faeroe Islands,118,+3,,,14,104,,"2,415"
Jordan,112,,,,1,111,,11
Malta,107,+17,,,2,105,1,242
New Zealand,102,,,,,102,,21
Burkina Faso,99,+24,4,,5,90,,5
Cyprus,95,,1,,3,91,3,79
Moldova,94,,1,,2,91,3,23
Sri Lanka,92,+10,,,3,89,2,4
Brunei,91,+3,,,2,89,2,208
Albania,89,,4,+2,2,83,2,31
Tunisia,89,+14,3,,1,85,11,8
Cambodia,86,+2,,,2,84,1,5
Belarus,81,+5,,,22,59,,9
Venezuela,77,+7,,,15,62,2,3
Ukraine,73,,3,,1,69,,2
Azerbaijan,72,+7,1,,11,60,,7
Senegal,67,,,,5,62,,4
Oman,66,+11,,,17,49,,13
Réunion,64,,,,1,63,,71
Kazakhstan,62,+2,,,,62,,3
Palestine,59,,,,17,42,,12
Guadeloupe,58,,1,,,57,4,145
Cameroon,56,+16,,,2,54,,2
Georgia,54,,,,8,46,1,14
Trinidad and Tobago,50,,,,,50,,36
Liechtenstein,46,+9,,,,46,,"1,206"
Uzbekistan,46,+3,,,,46,,1
Martinique,44,,1,,,43,7,117
Afghanistan,40,,1,,1,38,,1
Nigeria,36,+6,1,+1,2,33,,0.2
Cuba,35,,1,,,34,,3
Channel Islands,35,+3,,,,35,,201
Bangladesh,33,+6,3,+1,5,25,,0.2
Puerto Rico,31,+8,2,+1,,29,,11
DRC,30,,1,,,29,,0.3
Guam,29,+2,1,,,28,,172
Mauritius,28,,2,,,26,1,22
Bolivia,27,+3,,,,27,,2
Honduras,27,+1,,,,27,,3
Ivory Coast,25,+11,,,2,23,,0.9
Ghana,24,+1,1,,,23,,0.8
Macao,24,+2,,,10,14,,37
Monaco,23,,,,1,22,,586
Montenegro,22,+1,1,+1,,21,,35
Paraguay,22,,1,,,21,1,3
Mayotte,21,+10,,,,21,,77
Guatemala,19,,1,,,18,,1
Guyana,19,,1,,,18,,24
Jamaica,19,,1,,2,16,,6
Rwanda,19,,,,,19,,1
French Guiana,18,,,,,18,,60
French Polynesia,18,,,,,18,,64
Togo,18,+2,,,,18,,2
Barbados,17,+3,,,,17,,59
Kyrgyzstan,16,+2,,,,16,,2
Gibraltar,15,,,,2,13,,445
Kenya,15,,,,,15,,0.3
Maldives,13,,,,5,8,,24
Madagascar,12,+9,,,,12,,0.4
Tanzania,12,,,,,12,,0.2
Ethiopia,11,,,,,11,,0.10
Mongolia,10,,,,,10,,3
Aruba,9,,,,1,8,,84
New Caledonia,8,+4,,,,8,,28
Seychelles,7,,,,,7,,71
Bermuda,6,,,,,6,,96
Equatorial Guinea,6,,,,,6,,4
U.S. Virgin Islands,6,,,,,6,,57
Gabon,5,,1,,,4,,2
Haiti,5,+3,,,,5,,0.4
Isle of Man,5,,,,,5,,59
Saint Martin,5,,,,,5,,129
Suriname,5,,,,,5,,9
Curaçao,4,+1,1,,,3,,24
Bahamas,4,,,,,4,,10
Greenland,4,,,,,4,,70
Guinea,4,+2,,,,4,,0.3
Eswatini,4,,,,,4,,3
Cayman Islands,3,,1,,,2,,46
Zimbabwe,3,,1,+1,,2,,0.2
Cabo Verde,3,,,,,3,,5
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
El Salvador,3,,,,,3,,0.5
Fiji,3,+1,,,,3,,3
Liberia,3,,,,,3,,0.6
Namibia,3,,,,,3,,1
St. Barth,3,,,,,3,,304
Zambia,3,,,,,3,,0.2
Gambia,2,+1,1,+1,,1,,0.8
Sudan,2,,1,,,1,,0.05
Nepal,2,+1,,,1,1,,0.07
Angola,2,,,,,2,,0.06
Benin,2,,,,,2,,0.2
Bhutan,2,,,,,2,,3
Mauritania,2,,,,,2,,0.4
Nicaragua,2,,,,,2,,0.3
Niger,2,,,,,2,,0.08
Saint Lucia,2,,,,,2,,11
Antigua and Barbuda,1,,,,,1,,10
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1
Dominica,1,,,,,1,,14
Eritrea,1,,,,,1,,0.3
Grenada,1,,,,,1,,9
Vatican City,1,,,,,1,,"1,248"
Montserrat,1,,,,,1,,200
Mozambique,1,,,,,1,,0.03
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Syria,1,,,,,1,,0.06
Timor-Leste,1,,,,,1,,0.8
Uganda,1,,,,,1,,0.02
